comment,lang,label,notes,comment_clean
"bhai kya must shoot kiya hai ,, fan hogaya boss awsome!!!",hinglish,,,bhai kya must shoot kiya hai fan hogaya boss awsome
bhai kashmir dikhaiye aap dono ki chemistry baad me dikhana,hinglish,,,bhai kashmir dikhaiye aap dono ki chemistry baad dikhana
duniya ki jannat,hinglish,,,duniya ki jannat
"gajab launda hai be, har dusre video mein nayi ladki ke saath aa jaata hai",hinglish,,,gajab launda hai har dusre video mein nayi ladki ke saath aa jaata hai
bhai dil khush kardiya,hinglish,,,bhai dil khush kardiya
anju kurian aapki friend hai ky ?,hinglish,,,anju kurian aapki friend hai ky
bhai ne to jannat ke darshan kra diye,hinglish,,,bhai ne jannat ke darshan kra diye
bhai ye ankit bhai ko pyaar tow nahi ho gaya abhi vlog dekhr aha hun tv pe alag si feeling aa rahi hai,hinglish,,,bhai ye ankit bhai ko pyaar tow nahi ho gaya abhi vlog dekhr aha hun tv pe alag si feeling aa rahi hai
propose kar de bhai itna sab dikhane ke baad,hinglish,,,propose kar de bhai itna sab dikhane ke baad
"bachii,bachi hai yr majay.....",hinglish,,,bachii bachi hai yr majay
bhai ne kya editing ki hai,hinglish,,,bhai ne kya editing ki hai
last song kaunsaa hai,hinglish,,,last song kaunsaa hai
bhai background music ki volume thodi kam rakha karo,hinglish,,,bhai background music ki volume thodi kam rakha karo
itna overacting q kar ra hai,hinglish,,,itna overacting kar ra hai
proud of kashmiri welcome bhai,hinglish,,,proud kashmiri welcome bhai
bhai tumare videos shi me bahut quality ke hote h,hinglish,,,bhai tumare videos shi bahut quality ke hote
bhai jugad,hinglish,,,bhai jugad
bhai ne vlog ke sath pre wedding bhi karli,hinglish,,,bhai ne vlog ke sath pre wedding bhi karli
bhai hindi nhi ati kyakhai english bole ja rha hai,hinglish,,,bhai hindi nhi ati kyakhai english bole ja rha hai
ye hota hai asli travel vlog,hinglish,,,ye hota hai asli travel vlog
bhai hindi mein bhi bola kro,hinglish,,,bhai hindi mein bhi bola kro
batanewale ko accha pakde ho,hinglish,,,batanewale ko accha pakde ho
agli saal ka hai ya,hinglish,,,agli saal ka hai
konse month ka h ya,hinglish,,,konse month ka
bhai 4 week phele inki engagement nhi huyi thi kya,hinglish,,,bhai week phele inki engagement nhi huyi thi kya
wowww dream yaar,hinglish,,,wowww dream yaar
background music khud se create karte hain ki kharida hai,hinglish,,,background music khud se create karte hain ki kharida hai
hindi bhi bol liya karo jyada angrej mat bano jyadatar log india se hi dekhte hai apki video na ki us uk se,hinglish,,,hindi bhi bol liya karo jyada angrej mat bano jyadatar log india se hi dekhte hai apki video na ki us uk se
ye wali video ke end me jo background music baj rha hai uska name kya hai please bata do,hinglish,,,ye wali video ke end jo background music baj rha hai uska name kya hai please bata
we want a love story bhai,hinglish,,,want love story bhai
ankit bhai super video,hinglish,,,ankit bhai super video
ankit bhai! take love from bangladesh,hinglish,,,ankit bhai take love bangladesh
but anju kurian is married to someone else right? fir ye kyun ghum ra hai. ye vlog hai ya music video bnaya h bhai ne,hinglish,,,anju kurian married someone else right fir ye kyun ghum ra hai ye vlog hai music video bnaya bhai ne
bhai aap mere,hinglish,,,bhai aap mere
hi! im asmitakashmir mein sab jagah par hi drone urane ka permission hain kya ??love from west bengal,hinglish,,,hi asmitakashmir mein sab jagah par hi drone urane ka permission hain kya love west bengal
nice view bhai,hinglish,,,nice view bhai
अवशवसनय जवन,hindi,,,
हमर एक bsf क जवन अकल ह गट खल द रह दसर पकसतन क जवन क द बजरग क गट खलन म मदद करन आ रह ह,hindi,,,bsf
भई हद बलन म शरम आत ह कय,hindi,,,
आप सभ क लय मसयर vlogs क सरज आ चक ह अगर पसद आय त सपपरट जरर कर,hindi,,,vlogs
इसक रयल वइस एकदम नमन जस ह बर मन सन ह,hindi,,,
"हमचल उततरखड,kashmir etc....जशमठ हरषल ........पथरगड क दरम वयस चदस vally......",hindi,,,kashmir etc vally
"अकत भई, फरवर म यतर क यजन बन रह ह त उस समय दध पतर म ऐस मसम हग कय?",hindi,,,
भई य वल दसत मझ द द.....,hindi,,,
অসধরণ সনদর ভব ফটয তল হযছ এত সনদর হযছ বলগ,indic-script,,,
അഞച കരയൻ,indic-script,,,
পরম পড গলম এমন সনমটক ভলগ দখ one day me sra are doing this dream vlog,indic-script,,,one day sra dream vlog
മലയളകൾ ആരല ഇവട ഇണട,indic-script,,,
